Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.38,Vintage,Paperback,512,2015,2011,,2019/08/18,currently-reading,currently-reading (#1),currently-reading,,,,1,0
44298365,নিমিখ পানে: ক্যালকুলাসের পথ পরিভ্রমণ,Chamok Hasan,"Hasan, Chamok",,"=""""","=""9789848040294""",0,4.50,আদর্শ ,Hardcover,216,2019,,2019/08/18,2019/05/21,,,read,,,,1,1
223663,The Adventures of Huckleberry Finn,Deidre S. Laiken,"Laiken, Deidre S.",Mark Twain,"=""0866119655""","=""9780866119658""",5,4.08,Playmore Publishers,Library Binding,240,2000,1979,,2016/04/06,,,read,,,,1,0
19549930,"হারানো উপত্যকা (তিন গোয়েন্দা, #২৩)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",3,3.77,Sheba Prokashoni,Paperback,,1989,1989,,2019/05/21,,,read,,,,1,0
22054849,"প্রজাপতির খামার (তিন গোয়েন্দা, #৪৬)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",3,3.74,Sheba Prokashoni,Paperback,,,,,2019/05/03,,,read,,,"এই বইয়ে রবিন-জিনা বেশি ক্লোজ ছিলো, প্রেটি মাস",1,0
10194157,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",3,3.95,Henry Holt & Company,Hardcover,358,2012,2012,2019/04/09,2019/04/04,,,read,,,,1,0
42087149,"কাকাবাবু ও আশ্চর্য দ্বীপ (কাকাবাবু, #27)",Sunil Gangopadhyay,"Gangopadhyay, Sunil",,"=""8177563920""","=""""",4,3.58,আনন্দ পাবলিশার্স (ভারত),Hardcover,136,2014,,,2017/04/26,,,read,,,,1,0
43833011,ফিরে এলেন হোজা,Leonid Solovyov,"Solovyov, Leonid",Faruque Bashar,"=""""","=""9789849400912""",3,4.47,বইয়ের জাহাজ,Paperback,250,2019,1942,2019/03/31,2019/03/25,,,read,,,,1,0
43832421,দ্য জেনারেল অভ দ্য ডেড আর্মি,Ismail Kadare,"Kadare, Ismail","Mosharraf Hossain, Saku Chowdhury, Ridwan Anam","=""""","=""9789849401384""",4,4.03,বইয়ের জাহাজ; পরিবেশকঃ চৈতন্য,Paperback,276,2019,1963,2019/03/25,2019/03/23,,,read,,,,1,0
40598460,সাই-ফাই কমিক্স সংকলন,Hasan Khurshid Rumi,"Rumi, Hasan Khurshid","Muhammed Zafar Iqbal, Mehedi Haque, Ahsan Habib, Arafat Karim, Asifur Rahman, Mahbubul Alam Masud, তানভীর ইবনে কামাল","=""""","=""9789849218012""",0,3.91,Dhaka Comics,Paperback,34,2016,,,2017/01/12,to-read,to-read (#151),to-read,,,,0,0
892295,The Annotated Sherlock Holmes: The Four Novels and the Fifty-Six Short Stories Complete (2 Volume Set),Arthur Conan Doyle,"Doyle, Arthur Conan",William S. Baring-Gould,"=""0517502917""","=""9780517502914""",4,4.50,Clarkson Potter Publishers,Hardcover,1512,1988,1894,,2016/04/01,,,read,,,,1,0
925103,The Adventures of Robinson Crusoe (Great Illustrated Classics),Malvina G. Vogel,"Vogel, Malvina G.",Daniel Defoe,"=""086611968X""","=""9780866119689""",5,4.09,Baronet Books,Hardcover,233,2000,1977,,2016/04/06,,,read,,,,1,0
